,training_size,number of trees,tree depth,training efficiency,testing efficiency
49,0.6,18,5,0.630874878890381,0.6201524693404044
50,0.6,18,6,0.6376230218762218,0.6233395374926698
51,0.6,18,7,0.6485186381329571,0.6226001376813441
52,0.6,18,8,0.66108004283456,0.622778613497871
53,0.6,18,9,0.677516955346671,0.6223706687743811
54,0.6,19,4,0.6275942955244684,0.6215802758726192
55,0.6,19,5,0.6315207968587989,0.6200249866143137
56,0.6,19,6,0.6385409053050263,0.6236199994900691
57,0.6,19,7,0.6486376230218762,0.6232120547665791
58,0.6,19,8,0.6637487039146028,0.622574641136126
59,0.6,19,9,0.6800496336965205,0.624206420030086
60,0.6,20,4,0.6276792847308392,0.6218097447795824
61,0.6,20,5,0.6324216824463293,0.6205859106091125
62,0.6,20,6,0.6396457649878465,0.623594502944851
63,0.6,20,7,0.6494025258792133,0.6237219856709416
64,0.6,20,8,0.665261511788003,0.6230845720404885
65,0.6,20,9,0.6817664156652106,0.6241554269396496
66,0.6,21,4,0.6281042307626932,0.6212233242395655
67,0.6,21,5,0.6337135183831654,0.6204074347925856
68,0.6,21,6,0.6399007326069589,0.6235690063996329
69,0.6,21,7,0.6504053985143887,0.6237729787613778
70,0.6,21,8,0.6662813822644524,0.6221666964126361
71,0.6,21,9,0.6835681868402713,0.6238494683970321
72,0.6,22,4,0.6288351379374819,0.6216312689630555
73,0.6,22,5,0.6341724600975676,0.621325310420438
74,0.6,22,6,0.6411245771786983,0.6233650340378879
75,0.6,22,7,0.6513572776257416,0.6241554269396496
76,0.6,22,8,0.6679811663918682,0.6239514545779047
77,0.6,22,9,0.6852679709676871,0.6242829096657403
78,0.6,23,4,0.6291580969216909,0.6221666964126361
79,0.6,23,5,0.6346993931770665,0.6218862344152367
80,0.6,23,6,0.6413115534327141,0.6232885444022335
81,0.6,23,7,0.6513232819431932,0.6252007852935927
82,0.6,23,8,0.6680831534395132,0.6241299303944315
83,0.6,23,9,0.6861008651901208,0.6244613854822672
84,0.6,24,4,0.6294640580646258,0.6222431860482904
85,0.6,24,5,0.6349543607961788,0.6220137171413274
86,0.6,24,6,0.6422804303853411,0.6243339027561765
87,0.6,24,7,0.6527171049276742,0.6253537645649014
88,0.6,24,8,0.6695959613129132,0.6250987991127203
89,0.6,24,9,0.6897044075402424,0.6247418474796665
90,0.6,25,4,0.6294470602233516,0.6221666964126361
91,0.6,25,5,0.6354982917169519,0.6219627240508911
