,training_size,tree depth,training efficiency,testing efficiency
46,0.75,2,0.6116618392961558,0.6088606045771632
47,0.75,3,0.6147758332313467,0.6136743768612573
48,0.75,4,0.6168019690232394,0.6154285481173255
49,0.75,5,0.6198343735976829,0.6155917268388202
50,0.75,6,0.6224996260487632,0.6167339778892832
51,0.75,7,0.6257088075714927,0.6177130502182515
52,0.75,8,0.6295027128462448,0.6175498714967568
53,0.75,9,0.6351187805110213,0.615102190674336
54,0.78,1,0.612330020920502,0.6061097719265715
55,0.78,2,0.612330020920502,0.6061097719265715
56,0.78,3,0.6154680962343096,0.6110699054329687
57,0.78,4,0.6174293933054393,0.6130168737251993
58,0.78,5,0.6201621338912134,0.6138512887075839
59,0.78,6,0.6230256276150627,0.6151956239569812
60,0.78,7,0.6260329497907949,0.6161227517151864
61,0.78,8,0.6298770920502093,0.6160300389393658
62,0.78,9,0.6344273012552302,0.6109308362692379
63,0.81,1,0.6123366321674095,0.6050993022007515
64,0.81,2,0.6123366321674095,0.6050993022007515
65,0.81,3,0.6156480572133666,0.6096081588835212
66,0.81,4,0.6175241117070837,0.6119162640901772
67,0.81,5,0.620357079902294,0.6132581857219538
68,0.81,6,0.623693686887764,0.6134728931830381
69,0.81,7,0.6266525647805394,0.6143853998926463
70,0.81,8,0.6296492155825841,0.6119162640901772
71,0.81,9,0.633829417541739,0.6147074610842727
72,0.84,1,0.6120709541905953,0.6051373573841545
73,0.84,2,0.6120709541905953,0.6051373573841545
74,0.84,3,0.615336983839831,0.6101089935623686
75,0.84,4,0.6171339072156187,0.6129135062782841
76,0.84,5,0.6195621820477641,0.6146344572630505
77,0.84,6,0.6232045942959824,0.6150168908152208
78,0.84,7,0.6261428068428785,0.615654280068838
79,0.84,8,0.6292145745055425,0.6166103639492638
80,0.84,9,0.6341318310406372,0.6155905411434763
81,0.87,1,0.6119922630560929,0.6040637012630423
82,0.87,2,0.6119922630560929,0.6040637012630423
83,0.87,3,0.6154035519606119,0.6084568918176826
84,0.87,4,0.617255729441416,0.6111241860829999
85,0.87,5,0.6190492937108024,0.6131638816976543
86,0.87,6,0.6227067581032765,0.6158311759629717
87,0.87,7,0.6260125432272434,0.611045736251667
88,0.87,8,0.6293886642049118,0.6103396877696713
89,0.87,9,0.6357306136803236,0.6126931827096572
90,0.9,1,0.6115291344650182,0.6058535590454823
91,0.9,2,0.6115291344650182,0.6058535590454823
92,0.9,3,0.6150987013575686,0.6091168672241485
93,0.9,4,0.6153593364005168,0.6090148888435651
94,0.9,5,0.6184756249575052,0.6115643483581481
95,0.9,6,0.6227251093533984,0.6151335916785642
96,0.9,7,0.6258300659519979,0.616051397103814
97,0.9,8,0.6292296534687125,0.6148276565368141
98,0.9,9,0.6357341975840265,0.614113807872731
99,0.93,1,0.6110562793350002,0.6097027972027972
100,0.93,2,0.6110562793350002,0.6097027972027972
101,0.93,3,0.614795806465763,0.6105769230769231
102,0.93,4,0.6167039522744221,0.6131993006993007
103,0.93,5,0.6180857130324166,0.6137820512820513
104,0.93,6,0.6215839803482914,0.6078088578088578
105,0.93,7,0.6258498925297188,0.6099941724941725
106,0.93,8,0.6286353467561522,0.6104312354312355
107,0.93,9,0.6351932271790148,0.6130536130536131
108,0.96,1,0.611001922893051,0.6099923527912312
109,0.96,2,0.611001922893051,0.6099923527912312
110,0.96,3,0.6147627192469909,0.6082080040785114
111,0.96,4,0.6166537411424747,0.612031608462911
112,0.96,5,0.6184916444453887,0.6148355850114708
113,0.96,6,0.6221993222067588,0.6138159571756309
114,0.96,7,0.6253014480128335,0.6158552128473107
115,0.96,8,0.6294128270777337,0.6153453989293908
116,0.96,9,0.6340341446313038,0.6140708641345909
117,0.99,1,0.6111402993685034,0.5932721712538226
118,0.99,2,0.6111402993685034,0.5932721712538226
119,0.99,3,0.6125516374612398,0.5942915392456677
120,0.99,4,0.6180012568120242,0.6024464831804281
121,0.99,5,0.6213802268442686,0.5973496432212029
122,0.99,6,0.6234920831144214,0.6004077471967381
123,0.99,7,0.6255421289571551,0.6034658511722731
124,0.99,8,0.6287459694450453,0.6004077471967381
125,0.99,9,0.633144811529705,0.601427115188583
